year_accepted	percentile	delay	articles
1965	  0.0	  16.00	    85
1965	  2.5	  23.30	    85
1965	  5.0	  32.20	    85
1965	  7.5	  34.00	    85
1965	 10.0	  39.00	    85
1965	 12.5	  40.00	    85
1965	 15.0	  41.60	    85
1965	 17.5	  44.70	    85
1965	 20.0	  50.60	    85
1965	 22.5	  53.90	    85
1965	 25.0	  55.00	    85
1965	 27.5	  59.40	    85
1965	 30.0	  63.00	    85
1965	 32.5	  68.00	    85
1965	 35.0	  69.40	    85
1965	 37.5	  73.00	    85
1965	 40.0	  80.20	    85
1965	 42.5	  84.70	    85
1965	 45.0	  87.80	    85
1965	 47.5	  88.00	    85
1965	 50.0	  91.00	    85
1965	 52.5	  93.10	    85
1965	 55.0	  96.40	    85
1965	 57.5	 101.40	    85
1965	 60.0	 115.00	    85
1965	 62.5	 119.50	    85
1965	 65.0	 124.00	    85
1965	 67.5	 129.00	    85
1965	 70.0	 138.00	    85
1965	 72.5	 141.90	    85
1965	 75.0	 146.00	    85
1965	 77.5	 149.10	    85
1965	 80.0	 159.20	    85
1965	 82.5	 163.80	    85
1965	 85.0	 168.00	    85
1965	 87.5	 174.00	    85
1965	 90.0	 190.00	    85
1965	 92.5	 224.30	    85
1965	 95.0	 310.80	    85
1965	 97.5	 346.50	    85
1965	100.0	 538.00	    85
1966	  0.0	   2.00	   191
1966	  2.5	   6.75	   191
1966	  5.0	  11.50	   191
1966	  7.5	  16.75	   191
1966	 10.0	  20.00	   191
1966	 12.5	  22.00	   191
1966	 15.0	  25.50	   191
1966	 17.5	  28.25	   191
1966	 20.0	  32.00	   191
1966	 22.5	  33.75	   191
1966	 25.0	  35.00	   191
1966	 27.5	  36.00	   191
1966	 30.0	  39.00	   191
1966	 32.5	  42.00	   191
1966	 35.0	  44.50	   191
1966	 37.5	  47.25	   191
1966	 40.0	  49.00	   191
1966	 42.5	  50.00	   191
1966	 45.0	  53.00	   191
1966	 47.5	  56.25	   191
1966	 50.0	  60.00	   191
1966	 52.5	  65.00	   191
1966	 55.0	  70.00	   191
1966	 57.5	  73.00	   191
1966	 60.0	  78.00	   191
1966	 62.5	  84.50	   191
1966	 65.0	  87.00	   191
1966	 67.5	  91.25	   191
1966	 70.0	  96.00	   191
1966	 72.5	  99.00	   191
1966	 75.0	 105.00	   191
1966	 77.5	 114.00	   191
1966	 80.0	 119.00	   191
1966	 82.5	 139.25	   191
1966	 85.0	 160.50	   191
1966	 87.5	 172.00	   191
1966	 90.0	 195.00	   191
1966	 92.5	 203.75	   191
1966	 95.0	 260.00	   191
1966	 97.5	 294.75	   191
1966	100.0	 512.00	   191
1967	  0.0	   7.00	   182
1967	  2.5	  17.52	   182
1967	  5.0	  22.00	   182
1967	  7.5	  22.00	   182
1967	 10.0	  25.20	   182
1967	 12.5	  29.62	   182
1967	 15.0	  30.00	   182
1967	 17.5	  32.00	   182
1967	 20.0	  34.00	   182
1967	 22.5	  36.00	   182
1967	 25.0	  37.25	   182
1967	 27.5	  38.00	   182
