journal_nlm_id	journal_abbrev	journal	delay_type	n_articles	median_delay	mean_delay	n_unique_dates	n_unique_years	n_unique_delays
0001027	Aust N Z J Obstet Gynaecol	The Australian & New Zealand journal of obstetrics & gynaecology	Acceptance	397	111	122.453	258	5	183
0001027	Aust N Z J Obstet Gynaecol	The Australian & New Zealand journal of obstetrics & gynaecology	Publication	325	56	68.3015	138	4	107
0004041	Br J Dermatol	The British journal of dermatology	Acceptance	50	118	139.36	32	2	45
0004041	Br J Dermatol	The British journal of dermatology	Publication	460	133	136.898	181	2	151
0004047	Br J Math Stat Psychol	The British journal of mathematical and statistical psychology	Acceptance	9	153	202.333	9	2	9
0004047	Br J Math Stat Psychol	The British journal of mathematical and statistical psychology	Publication	5	134	133.4	5	2	4
0005735	Community Ment Health J	Community mental health journal	Acceptance	864	338	360.978	316	11	480
0005735	Community Ment Health J	Community mental health journal	Publication	865	15	24.9179	556	10	98
0006252	Cryobiology	Cryobiology	Acceptance	1081	122	146.132	752	13	323
0006252	Cryobiology	Cryobiology	Publication	947	10	17.037	666	12	81
0006761	Dev Med Child Neurol	Developmental medicine and child neurology	Acceptance	1	249	249	1	1	1
0006761	Dev Med Child Neurol	Developmental medicine and child neurology	Publication	348	59	62.6466	249	4	78
0006777	Diabetologia	Diabetologia	Acceptance	3653	82	88.3663	1885	14	266
0006777	Diabetologia	Diabetologia	Publication	3664	44	53.9356	1842	14	159
0007275	Econ Bot	Economic botany	Acceptance	7	242	240.429	7	3	7
0007275	Econ Bot	Economic botany	Publication	7	26	36.4286	7	4	5
0010505	Gastrointest Endosc	Gastrointestinal endoscopy	Acceptance	4206	98	122.856	1576	12	430
0010505	Gastrointest Endosc	Gastrointestinal endoscopy	Publication	2743	78	89.9508	706	10	225
0013103	Isr J Chem	Israel journal of chemistry	Acceptance	2	35.5	35.5	2	2	2
0013103	Isr J Chem	Israel journal of chemistry	Publication	2	42	42	2	2	2
0014052	J Food Sci	Journal of food science	Acceptance	992	112	127.511	524	5	253
0014052	J Food Sci	Journal of food science	Publication	897	51	58.1661	272	4	116
0014067	J Invertebr Pathol	Journal of invertebrate pathology	Acceptance	1411	108	121.58	1004	13	306
0014067	J Invertebr Pathol	Journal of invertebrate pathology	Publication	1277	9	19.5685	819	12	104
0014162	J Music Ther	Journal of music therapy	Acceptance	9	179	226.222	7	2	9
0014162	J Music Ther	Journal of music therapy	Publication	10	57	55.4	8	1	8
0014207	J Public Health Dent	Journal of public health dentistry	Acceptance	133	224	243.353	80	4	109
0014207	J Public Health Dent	Journal of public health dentistry	Publication	104	46	47	75	4	38
0020713	Neuropsychologia	Neuropsychologia	Acceptance	3885	165	180.478	2060	13	453
0020713	Neuropsychologia	Neuropsychologia	Publication	3553	9	15.8156	1631	12	107
0022623	Phys Ther	Physical therapy	Acceptance	164	228.5	242.159	50	2	121
0022623	Phys Ther	Physical therapy	Publication	164	10	11.5976	46	2	22
0024046	Psychother Psychosom	Psychotherapy and psychosomatics	Acceptance	205	158	184.244	177	8	149
0024046	Psychother Psychosom	Psychotherapy and psychosomatics	Publication	206	157	163.165	60	8	135
0026251	Sci Pharm	Scientia pharmaceutica	Acceptance	332	65	90.1145	205	6	147
0026251	Sci Pharm	Scientia pharmaceutica	Publication	336	0	0.958333	193	6	13
0031164	Vet Rec	The Veterinary record	Publication	115	24	29.713	72	2	31
0033401	Z Anorg Allg Chem	Zeitschrift fur anorganische und allgemeine Chemie	Acceptance	2	75.5	75.5	2	2	2
0033401	Z Anorg Allg Chem	Zeitschrift fur anorganische und allgemeine Chemie	Publication	2	0	0	2	2	1
0035623	Mol Pharmacol	Molecular pharmacology	Acceptance	151	101	112.338	97	2	103
0035623	Mol Pharmacol	Molecular pharmacology	Publication	150	0	1.60667	94	2	12
0035665	Neuroendocrinology	Neuroendocrinology	Acceptance	844	117.5	128.687	487	14	245
0035665	Neuroendocrinology	Neuroendocrinology	Publication	753	58	68.4382	472	12	174
0042124	Int J Cancer	International journal of cancer. Journal international du cancer	Acceptance	3274	113	121.17	1043	7	330
0042124	Int J Cancer	International journal of cancer. Journal international du cancer	Publication	3184	50	61.9064	729	7	207
0043125	J Colloid Interface Sci	Journal of colloid and interface science	Acceptance	11493	78	95.5881	3320	15	419
0043125	J Colloid Interface Sci	Journal of colloid and interface science	Publication	9156	10	16.7037	2252	11	123
0043312	Exp Brain Res	Experimental brain research	Acceptance	5778	136	160.217	2959	15	518
0043312	Exp Brain Res	Experimental brain research	Publication	5703	27	45.2953	2024	15	231
0043533	Anesth Prog	Anesthesia progress	Acceptance	47	180	202.872	38	5	45
0043535	Carbohydr Res	Carbohydrate research	Acceptance	3822	65	80.5727	1995	13	297
0043535	Carbohydr Res	Carbohydrate research	Publication	3223	9	13.0019	1420	11	85
0044263	Adv Enzyme Regul	Advances in enzyme regulation	Acceptance	25	3	3	17	1	6
0044263	Adv Enzyme Regul	Advances in enzyme regulation	Publication	28	42.5	38.8571	8	1	21
0044652	Jpn J Ophthalmol	Japanese journal of ophthalmology	Acceptance	974	163	172.475	575	13	293
0044652	Jpn J Ophthalmol	Japanese journal of ophthalmology	Publication	715	116	121.71	310	10	189
0045130	Rev Colomb Psiquiatr	Revista colombiana de psiquiatria	Acceptance	193	98	122.87	116	5	125
0045130	Rev Colomb Psiquiatr	Revista colombiana de psiquiatria	Publication	194	215	376.902	58	3	129
0045312	Can J Ophthalmol	Canadian journal of ophthalmology. Journal canadien d'ophtalmologie	Acceptance	388	154	168.472	215	6	216
0045312	Can J Ophthalmol	Canadian journal of ophthalmology. Journal canadien d'ophtalmologie	Publication	91	100	110.264	34	5	65
0045332	J Exp Soc Psychol	Journal of experimental social psychology	Acceptance	1	277	277	1	1	1
0045503	Brain Res	Brain research	Acceptance	10273	106	121.474	3019	12	454
0045503	Brain Res	Brain research	Publication	9546	11	19.8331	2167	11	156
0046021	Bull Environ Contam Toxicol	Bulletin of environmental contamination and toxicology	Acceptance	3050	155	178.875	931	13	463
0046021	Bull Environ Contam Toxicol	Bulletin of environmental contamination and toxicology	Publication	2498	15	24.223	1171	9	127
0047061	Exp Gerontol	Experimental gerontology	Acceptance	1879	96	109.44	1145	13	305
0047061	Exp Gerontol	Experimental gerontology	Publication	1640	8	15.6622	1010	12	84
0047103	Circ Res	Circulation research	Acceptance	93	117	126.14	75	1	78
0047103	Circ Res	Circulation research	Publication	94	0	1.12766	70	1	10
0050202	J Ecol	The Journal of ecology	Acceptance	18	124.5	144.556	18	7	17
0050202	J Ecol	The Journal of ecology	Publication	13	62	65.4615	11	3	13
0050222	J Cell Physiol	Journal of cellular physiology	Acceptance	855	79	102.246	397	5	281
0050222	J Cell Physiol	Journal of cellular physiology	Publication	8	30.5	35.5	4	1	7
0050303	J Sch Psychol	Journal of school psychology	Acceptance	248	371	382.04	207	9	203
0050303	J Sch Psychol	Journal of school psychology	Publication	255	32	35.1765	229	9	53
0050452	Ultrasonics	Ultrasonics	Acceptance	1520	144	184.132	1048	13	452
0050452	Ultrasonics	Ultrasonics	Publication	1455	11	15.4041	983	12	67
0052457	J Cell Sci	Journal of cell science	Acceptance	270	140.5	150.226	148	1	156
0052457	J Cell Sci	Journal of cell science	Publication	270	7	9.86667	78	1	35
0052631	J Pediatr Surg	Journal of pediatric surgery	Acceptance	3913	61	75.829	1360	9	316
0052631	J Pediatr Surg	Journal of pediatric surgery	Publication	772	11	22.4741	237	3	97
0053006	Health Serv Res	Health services research	Publication	40	73.5	75.525	20	2	28
0053303	J Organomet Chem	Journal of organometallic chemistry	Acceptance	6	54.5	53.1667	6	3	6
0054655	Ophthalmologica	Ophthalmologica. Journal international d'ophtalmologie. International journal of ophthalmology. Zeitschrift fur Augenheilkunde	Acceptance	787	100	119.498	500	14	263
