year_published	percentile	delay	articles
1997	  0.0	 23.0	     9
1997	  2.5	 24.8	     9
1997	  5.0	 26.6	     9
1997	  7.5	 28.4	     9
1997	 10.0	 30.2	     9
1997	 12.5	 32.0	     9
1997	 15.0	 32.6	     9
1997	 17.5	 33.2	     9
1997	 20.0	 33.8	     9
1997	 22.5	 34.4	     9
1997	 25.0	 35.0	     9
1997	 27.5	 35.4	     9
1997	 30.0	 35.8	     9
1997	 32.5	 36.2	     9
1997	 35.0	 36.6	     9
1997	 37.5	 37.0	     9
1997	 40.0	 38.0	     9
1997	 42.5	 39.0	     9
1997	 45.0	 40.0	     9
1997	 47.5	 41.0	     9
1997	 50.0	 42.0	     9
1997	 52.5	 46.6	     9
1997	 55.0	 51.2	     9
1997	 57.5	 55.8	     9
1997	 60.0	 60.4	     9
1997	 62.5	 65.0	     9
1997	 65.0	 67.0	     9
1997	 67.5	 69.0	     9
1997	 70.0	 71.0	     9
1997	 72.5	 73.0	     9
1997	 75.0	 75.0	     9
1997	 77.5	 75.8	     9
1997	 80.0	 76.6	     9
1997	 82.5	 77.4	     9
1997	 85.0	 78.2	     9
1997	 87.5	 79.0	     9
1997	 90.0	105.4	     9
1997	 92.5	131.8	     9
1997	 95.0	158.2	     9
1997	 97.5	184.6	     9
1997	100.0	211.0	     9
1998	  0.0	  5.0	   331
1998	  2.5	 44.5	   331
1998	  5.0	 88.0	   331
1998	  7.5	 99.0	   331
1998	 10.0	107.0	   331
1998	 12.5	109.0	   331
1998	 15.0	115.0	   331
1998	 17.5	115.0	   331
1998	 20.0	129.0	   331
1998	 22.5	131.2	   331
1998	 25.0	137.0	   331
1998	 27.5	140.8	   331
1998	 30.0	144.0	   331
1998	 32.5	147.0	   331
1998	 35.0	150.0	   331
1998	 37.5	150.8	   331
1998	 40.0	151.0	   331
1998	 42.5	154.0	   331
1998	 45.0	155.5	   331
1998	 47.5	161.0	   331
1998	 50.0	161.0	   331
1998	 52.5	163.0	   331
1998	 55.0	164.0	   331
1998	 57.5	168.8	   331
1998	 60.0	170.0	   331
1998	 62.5	172.0	   331
1998	 65.0	172.0	   331
1998	 67.5	176.0	   331
1998	 70.0	176.0	   331
1998	 72.5	179.0	   331
1998	 75.0	179.0	   331
1998	 77.5	182.0	   331
1998	 80.0	185.0	   331
1998	 82.5	190.0	   331
1998	 85.0	192.0	   331
1998	 87.5	193.0	   331
1998	 90.0	198.0	   331
1998	 92.5	198.2	   331
1998	 95.0	207.0	   331
1998	 97.5	211.0	   331
1998	100.0	467.0	   331
1999	  0.0	  9.0	   403
1999	  2.5	 14.1	   403
1999	  5.0	 17.1	   403
1999	  7.5	 21.0	   403
1999	 10.0	 22.2	   403
1999	 12.5	 26.2	   403
1999	 15.0	 31.0	   403
1999	 17.5	 33.0	   403
1999	 20.0	 39.6	   403
1999	 22.5	 81.7	   403
1999	 25.0	 92.5	   403
1999	 27.5	 93.0	   403
1999	 30.0	 95.0	   403
1999	 32.5	 96.0	   403
1999	 35.0	102.4	   403
1999	 37.5	106.0	   403
1999	 40.0	107.8	   403
1999	 42.5	115.9	   403
1999	 45.0	117.0	   403
1999	 47.5	131.0	   403
1999	 50.0	134.0	   403
1999	 52.5	136.0	   403
1999	 55.0	138.0	   403
