JrId	JournalTitle	NlmId	MedAbbr	IsoAbbr	ISSN (Print)	ISSN (Online)
198	Acta radiologica: therapy, physics, biology	0000201	Acta Radiol Ther Phys Biol	Acta Radiol Ther Phys Biol	0567-8064	
159	Acta paediatrica Scandinavica	0000211	Acta Paediatr Scand	Acta Paediatr Scand	0001-656X	
110	Acta medica veterinaria	0000212	Acta Med Vet (Napoli)	Acta Med Vet (Napoli)	0001-6136	
28070	Acta paediatrica	0000213	Acta Paediatr	Acta Paediatr	0365-1436	
178	Acta pharmaceutica Suecica	0000216	Acta Pharm Suec	Acta Pharm Suec	0001-6675	
31261	Acta psychotherapeutica et psychosomatica	0000220	Acta Psychother Psychosom	Acta Psychother Psychosom	0365-5822	
22391	Acta radiologica	0000221	Acta radiol	Acta radiol	0001-6926	
22482	Advances in radiation biology	0000256	Adv Radiat Biol	Adv Radiat Biol	0065-3292	
303	Advances in oral biology	0000261	Adv Oral Biol	Adv Oral Biol	0065-3020	
294	Advances in lipid research	0000262	Adv Lipid Res	Adv Lipid Res	0065-2849	
21629	Advances in botanical research	0000266	Adv Bot Res	Adv Bot Res	0065-2296	
37966	Aerztlicher Feldpostbrief	0000304	Aerztlicher Feldpostbrief	Aerztlicher Feldpostbrief		
37996	Bulletin. American Cancer Society	0000670	Bull Am Cancer Soc	Bull Am Cancer Soc		
37967	Anales de medicina. Ateneo Ramon y Cajal, Mexico	0000745	An Med Ateneo Ramon Cajal Mex	An Med Ateneo Ramon Cajal Mex		
932	The Australian & New Zealand journal of obstetrics & gynaecology	0001027	Aust N Z J Obstet Gynaecol	Aust N Z J Obstet Gynaecol	0004-8666	1479-828X
3327	Australian journal of zoology	0001061	Aust J Zool	Aust J Zool	0004-959X	1446-5698
454	American journal of practical nursing	0001470	Am J Pract Nurs	Am J Pract Nurs	0569-6054	
31161	Journal of the American Physical Therapy Association	0001556	J Am Phys Ther Assoc	J Am Phys Ther Assoc		
37174	Proceedings of the annual meeting. American Student Health Association	0001626	Proc Annu Meet Am Stud Health Assoc	Proc Annu Meet Am Stud Health Assoc		
31160	Transactions. American Urological Association. Western Section	0001640	Trans West Sect Am Urol Assoc	Trans West Sect Am Urol Assoc		
27985	Anestesia e rianimazione	0001703	Anest Rianim	Anest Rianim	0570-0760	
31159	Annales d'hygiene et de medecine coloniales	0001760	Ann Hyg Med Colon	Ann Hyg Med Colon		
34642	Anales argentinos de oftalmologia	0001770	An Argent Oftalmol	An Argent Oftalmol		
31158	Annals of biochemistry and experimental medicine	0002045	Ann Biochem Exp Med	Ann Biochem Exp Med	0365-0642	
44448	Annals of medicine, for the year ... : exhibiting a concise view of the latest and most important discoveries in medicine and medical philosophy	0002052	Ann Med (Edinb)	Ann Med (Edinb)		
