journal_nlm_id	delay_type	slope	slope_as_percent	p_value
0001027	Acceptance	   2.38085	   1.94429	 3.85e-01
0001027	Publication	  14.75634	  21.60469	 4.01e-20
0004041	Publication	 -38.73778	 -28.29686	 1.15e-13
0005735	Acceptance	  11.15677	   3.09071	 4.43e-06
0005735	Publication	  -5.35572	 -21.49345	 3.28e-26
0006252	Acceptance	  -1.50328	  -1.02871	 9.01e-02
0006252	Publication	  -3.17752	 -18.65076	 2.75e-61
0006761	Publication	 -14.61141	 -23.32357	 5.92e-29
0006777	Acceptance	  -1.33855	  -1.51478	 1.43e-07
0006777	Publication	  -6.34686	 -11.76748	 0.00e+00
0010505	Acceptance	  -1.91968	  -1.56254	 2.60e-05
0010505	Publication	 -10.99525	 -12.22363	 0.00e+00
0014052	Acceptance	  -0.66755	  -0.52352	 7.86e-01
0014052	Publication	 -11.08931	 -19.06490	 2.89e-16
0014067	Acceptance	   0.00305	   0.00251	 9.96e-01
0014067	Publication	  -3.37841	 -17.26454	 8.45e-56
0014207	Acceptance	  -3.85892	  -1.58573	 7.01e-01
0014207	Publication	   1.93522	   4.11749	 1.27e-01
0020713	Acceptance	  -3.44649	  -1.90964	 5.44e-15
0020713	Publication	  -3.45757	 -21.86168	2.61e-266
0022623	Acceptance	 -50.93529	 -21.03386	 3.84e-02
0022623	Publication	  -1.39599	 -12.03692	 2.90e-01
0024046	Acceptance	   3.59549	   1.95149	 4.63e-01
0024046	Publication	 -17.68850	 -10.84086	 4.91e-20
0026251	Acceptance	  -5.04863	  -5.60246	 1.01e-01
0026251	Publication	  -0.41932	 -43.75526	 1.07e-01
0031164	Publication	  -2.99064	 -10.06508	 6.90e-01
0035623	Acceptance	  21.22391	  18.89295	 4.09e-01
0035623	Publication	   5.82126	 362.31883	 2.40e-09
0035665	Acceptance	   2.14799	   1.66915	 9.50e-04
0035665	Publication	  -4.93475	  -7.21051	 1.30e-18
0042124	Acceptance	   0.66897	   0.55209	 3.48e-01
0042124	Publication	 -12.50779	 -20.20435	7.30e-153
0043125	Acceptance	  -6.76872	  -7.08114	 0.00e+00
0043125	Publication	  -2.04369	 -12.23495	2.81e-255
0043312	Acceptance	  -1.85065	  -1.15508	 2.05e-08
0043312	Publication	  -6.20469	 -13.69831	 0.00e+00
0043535	Acceptance	  -3.51717	  -4.36521	 4.73e-31
0043535	Publication	  -1.19641	  -9.20187	 5.45e-51
0044652	Acceptance	  -0.07480	  -0.04337	 9.22e-01
0044652	Publication	 -21.01306	 -17.26479	1.10e-136
0045130	Acceptance	   7.26332	   5.91137	 2.86e-01
0045130	Publication	-222.48554	 -59.03007	 8.27e-08
0045312	Acceptance	   8.00014	   4.74866	 2.33e-02
0045503	Acceptance	  -0.69146	  -0.56923	 6.49e-03
0045503	Publication	  -3.77001	 -19.00864	 0.00e+00
0046021	Acceptance	  -0.39386	  -0.22019	 4.98e-01
0046021	Publication	  -5.44471	 -22.47744	 2.44e-51
0047061	Acceptance	   3.54790	   3.24188	 7.06e-16
0047061	Publication	  -3.55474	 -22.69630	2.53e-195
0050222	Acceptance	   1.53333	   1.49965	 6.32e-01
0050303	Acceptance	   5.32253	   1.39318	 3.27e-01
0050303	Publication	  -0.09496	  -0.26995	 8.17e-01
0050452	Acceptance	  -2.23071	  -1.21148	 9.11e-02
0050452	Publication	  -1.33929	  -8.69438	 7.74e-24
0052457	Acceptance	  -5.09982	  -3.39477	 7.69e-01
0052457	Publication	  -7.41017	 -75.10312	 6.85e-04
0052631	Acceptance	   3.54780	   4.67868	 5.00e-13
